Accident_ID,Date,Time,City,State,Accident_Severity,Weather_Condition,Road_Condition,Vehicle_Type,Vehicles_Involved,Injuries,Fatalities,Accident_Cause
TA1061,3/5/2024,18:22,Indore,Madhya Pradesh,Moderate,Overcast,Under Construction,Motorcycle,4,3,0,Poor Road Condition
TA1062,5/12/2024,0:59,Bhopal,Madhya Pradesh,Minor,Fog,Wet,SUV,4,2,0,Signal Violation
TA1063,1/28/2023,13:26,Patna,Bihar,Moderate,Clear,Dry,Van,4,2,0,Drunk Driving
TA1064,7/6/2023,1:42,Visakhapatnam,Andhra Pradesh,Minor,Rain,Wet,Bus,3,5,0,Drunk Driving
TA1065,10/12/2023,14:23,Indore,Madhya Pradesh,Minor,Clear,Potholes,Car,1,5,0,Distracted Driving
TA1066,10/29/2024,1:22,Chennai,Tamil Nadu,Moderate,Cloudy,Wet,SUV,1,2,0,Distracted Driving
TA1067,4/29/2024,22:51,Delhi,Delhi,Minor,Cloudy,Potholes,Van,3,5,0,Distracted Driving
TA1068,9/13/2024,3:54,Chandigarh,Chandigarh,Moderate,Cloudy,Poor,Car,1,4,0,Signal Violation
TA1069,2/11/2024,6:46,Indore,Madhya Pradesh,Minor,Cloudy,Dry,Van,3,1,0,Drunk Driving
TA1070,2/12/2023,11:51,Bhubaneswar,Odisha,Moderate,Rain,Dry,Truck,3,0,0,Drunk Driving
TA1071,5/16/2024,3:36,Bhopal,Madhya Pradesh,Minor,Rain,Potholes,Van,2,6,0,Distracted Driving
TA1072,10/28/2024,9:13,Kochi,Kerala,Moderate,Overcast,Potholes,Bus,4,4,0,Poor Road Condition
TA1073,3/30/2023,9:31,Ahmedabad,Gujarat,Severe,Cloudy,Potholes,Truck,4,5,0,Speeding
TA1074,11/29/2023,6:12,Coimbatore,Tamil Nadu,Moderate,Rain,Poor,Auto Rickshaw,3,4,0,Signal Violation
TA1075,6/13/2024,6:31,Hyderabad,Telangana,Minor,Fog,Potholes,Truck,2,7,0,Weather
TA1076,4/3/2024,0:35,Coimbatore,Tamil Nadu,Minor,Cloudy,Potholes,Van,2,4,0,Weather
TA1077,1/13/2024,16:09,Bhubaneswar,Odisha,Moderate,Rain,Potholes,Van,3,5,0,Weather
TA1078,10/5/2023,10:27,Visakhapatnam,Andhra Pradesh,Minor,Clear,Wet,Auto Rickshaw,1,8,0,Drunk Driving
TA1079,7/16/2023,7:23,Pune,Maharashtra,Moderate,Rain,Under Construction,SUV,3,1,0,Drunk Driving
TA1080,10/31/2023,7:45,Kolkata,West Bengal,Minor,Rain,Dry,Van,2,4,0,Speeding
TA1081,7/20/2024,9:58,Bengaluru,Karnataka,Moderate,Cloudy,Potholes,Car,1,4,0,Overtaking
TA1082,3/27/2024,11:37,Coimbatore,Tamil Nadu,Minor,Clear,Poor,SUV,4,1,0,Drunk Driving
TA1083,2/15/2024,16:47,Chennai,Tamil Nadu,Minor,Clear,Wet,Motorcycle,3,1,0,Distracted Driving
TA1084,7/25/2024,14:12,Mumbai,Maharashtra,Moderate,Overcast,Wet,SUV,4,7,0,Overtaking
TA1085,8/25/2024,14:38,Lucknow,Uttar Pradesh,Minor,Overcast,Dry,Truck,1,3,0,Weather
TA1086,9/28/2023,22:32,Kolkata,West Bengal,Minor,Cloudy,Wet,Truck,1,2,0,Speeding
TA1087,4/6/2024,23:31,Bhopal,Madhya Pradesh,Moderate,Rain,Dry,Motorcycle,3,4,0,Weather
TA1088,3/14/2023,23:27,Visakhapatnam,Andhra Pradesh,Minor,Rain,Under Construction,Van,2,6,0,Speeding
TA1089,8/19/2023,22:06,Patna,Bihar,Minor,Rain,Wet,Car,1,2,0,Drunk Driving
TA1090,9/1/2024,19:25,Lucknow,Uttar Pradesh,Severe,Fog,Dry,Bus,3,6,0,Poor Road Condition
TA1091,7/6/2024,16:51,Kochi,Kerala,Minor,Overcast,Dry,Bus,3,4,0,Speeding
TA1092,8/23/2023,23:00,Chennai,Tamil Nadu,Severe,Overcast,Under Construction,Car,3,0,0,Drunk Driving
TA1093,4/26/2024,17:42,Pune,Maharashtra,Moderate,Rain,Wet,Truck,4,7,0,Speeding
TA1094,12/23/2023,13:56,Coimbatore,Tamil Nadu,Minor,Clear,Wet,Auto Rickshaw,4,7,0,Poor Road Condition
TA1095,7/17/2024,1:15,Indore,Madhya Pradesh,Moderate,Rain,Poor,Auto Rickshaw,1,6,0,Drunk Driving
TA1096,1/2/2023,22:26,Kochi,Kerala,Severe,Fog,Potholes,Car,2,8,0,Poor Road Condition
TA1097,5/25/2024,21:20,Chandigarh,Chandigarh,Minor,Clear,Wet,Auto Rickshaw,2,4,0,Overtaking
TA1098,5/5/2023,0:59,Coimbatore,Tamil Nadu,Fatal,Overcast,Wet,Van,2,4,2,Speeding
TA1099,2/22/2024,3:10,Patna,Bihar,Minor,Clear,Potholes,Car,2,7,0,Weather
TA1100,6/5/2024,9:19,Lucknow,Uttar Pradesh,Minor,Fog,Potholes,Motorcycle,4,8,0,Distracted Driving
TA1101,7/15/2023,20:27,Indore,Madhya Pradesh,Moderate,Cloudy,Dry,Auto Rickshaw,4,5,0,Drunk Driving
TA1102,10/1/2023,0:05,Kochi,Kerala,Minor,Rain,Under Construction,Truck,4,2,0,Overtaking
TA1103,5/10/2024,11:46,Patna,Bihar,Minor,Overcast,Potholes,Bus,3,3,0,Weather
TA1104,8/8/2024,13:04,Ahmedabad,Gujarat,Minor,Fog,Dry,Auto Rickshaw,4,6,0,Overtaking
TA1105,5/22/2024,1:15,Delhi,Delhi,Minor,Overcast,Poor,SUV,1,7,0,Speeding
TA1106,4/12/2024,0:31,Kochi,Kerala,Moderate,Fog,Wet,Car,4,4,0,Poor Road Condition
TA1107,12/10/2024,13:34,Chandigarh,Chandigarh,Moderate,Rain,Under Construction,Bus,3,7,0,Drunk Driving
TA1108,2/6/2023,21:04,Patna,Bihar,Minor,Rain,Wet,Van,1,6,0,Speeding
TA1109,3/30/2024,5:40,Mumbai,Maharashtra,Moderate,Clear,Dry,Auto Rickshaw,1,4,0,Poor Road Condition
TA1110,3/17/2024,4:58,Nagpur,Maharashtra,Minor,Fog,Under Construction,Van,2,2,0,Distracted Driving
TA1111,9/16/2024,13:03,Chennai,Tamil Nadu,Moderate,Cloudy,Potholes,Truck,2,3,0,Overtaking
TA1112,4/15/2024,8:42,Jaipur,Rajasthan,Moderate,Fog,Poor,Van,2,1,0,Overtaking
TA1113,8/24/2024,10:12,Nagpur,Maharashtra,Moderate,Fog,Poor,Bus,3,3,0,Overtaking
TA1114,4/20/2023,8:05,Coimbatore,Tamil Nadu,Minor,Rain,Under Construction,Auto Rickshaw,3,0,0,Drunk Driving
TA1115,10/9/2023,0:16,Indore,Madhya Pradesh,Moderate,Clear,Under Construction,Van,4,4,0,Drunk Driving
TA1116,9/13/2024,12:01,Ahmedabad,Gujarat,Minor,Cloudy,Under Construction,Auto Rickshaw,2,1,0,Weather
TA1117,11/13/2023,15:02,Bengaluru,Karnataka,Minor,Rain,Wet,Car,3,5,0,Weather
TA1118,6/29/2023,6:51,Bhopal,Madhya Pradesh,Minor,Overcast,Poor,Truck,3,2,0,Poor Road Condition
TA1119,10/30/2023,11:33,Coimbatore,Tamil Nadu,Severe,Fog,Dry,Motorcycle,2,6,0,Drunk Driving
TA1120,1/10/2024,3:04,Patna,Bihar,Moderate,Clear,Poor,Truck,1,7,0,Poor Road Condition
TA1121,8/21/2024,13:00,Jaipur,Rajasthan,Severe,Rain,Dry,Van,2,7,0,Speeding
TA1122,7/28/2024,11:11,Chandigarh,Chandigarh,Severe,Cloudy,Dry,Van,4,4,0,Weather
TA1123,4/30/2023,4:46,Bhopal,Madhya Pradesh,Minor,Clear,Poor,Bus,1,1,0,Distracted Driving
TA1124,5/19/2023,13:15,Patna,Bihar,Moderate,Overcast,Potholes,Truck,2,6,0,Weather
TA1125,5/16/2024,21:00,Mumbai,Maharashtra,Minor,Rain,Dry,Van,3,3,0,Overtaking
TA1126,8/30/2023,12:22,Visakhapatnam,Andhra Pradesh,Minor,Rain,Under Construction,Van,3,0,0,Overtaking
TA1127,7/14/2023,4:10,Jaipur,Rajasthan,Severe,Fog,Dry,Van,2,0,0,Speeding
TA1128,9/7/2023,4:17,Surat,Gujarat,Moderate,Cloudy,Dry,SUV,2,3,0,Drunk Driving
TA1129,12/3/2023,5:02,Ahmedabad,Gujarat,Moderate,Overcast,Dry,Auto Rickshaw,2,2,0,Signal Violation
TA1130,6/28/2023,3:45,Jaipur,Rajasthan,Moderate,Clear,Wet,Car,3,3,0,Signal Violation
TA1131,1/17/2023,5:56,Surat,Gujarat,Minor,Cloudy,Potholes,Truck,1,1,0,Overtaking
TA1132,1/6/2024,17:31,Visakhapatnam,Andhra Pradesh,Moderate,Fog,Under Construction,Motorcycle,1,8,0,Poor Road Condition
TA1133,10/20/2024,1:03,Visakhapatnam,Andhra Pradesh,Minor,Fog,Potholes,Bus,1,7,0,Weather
TA1134,3/17/2023,2:45,Visakhapatnam,Andhra Pradesh,Minor,Cloudy,Dry,Motorcycle,3,8,0,Weather
TA1135,1/26/2024,20:23,Surat,Gujarat,Moderate,Fog,Under Construction,Truck,4,1,0,Drunk Driving
TA1136,11/1/2024,22:13,Mumbai,Maharashtra,Severe,Overcast,Wet,Bus,4,3,0,Overtaking
TA1137,4/9/2024,13:36,Surat,Gujarat,Minor,Clear,Poor,Bus,3,4,0,Poor Road Condition
TA1138,12/4/2024,16:11,Delhi,Delhi,Minor,Clear,Dry,Bus,1,5,0,Drunk Driving
TA1139,7/23/2024,2:02,Delhi,Delhi,Moderate,Overcast,Under Construction,Auto Rickshaw,1,6,0,Poor Road Condition
TA1140,2/22/2023,9:49,Bhopal,Madhya Pradesh,Moderate,Rain,Dry,Truck,2,2,0,Weather
TA1141,8/18/2023,3:41,Coimbatore,Tamil Nadu,Minor,Overcast,Poor,Car,3,3,0,Drunk Driving
TA1142,7/28/2024,21:13,Bhopal,Madhya Pradesh,Moderate,Overcast,Dry,Truck,3,0,0,Distracted Driving
TA1143,12/20/2024,10:32,Jaipur,Rajasthan,Severe,Rain,Dry,Motorcycle,2,6,0,Speeding
TA1144,10/10/2024,1:02,Delhi,Delhi,Minor,Overcast,Wet,Bus,4,7,0,Poor Road Condition
TA1145,1/14/2024,10:38,Pune,Maharashtra,Moderate,Overcast,Under Construction,Car,1,2,0,Distracted Driving
TA1146,2/20/2023,23:00,Chandigarh,Chandigarh,Minor,Fog,Potholes,Bus,4,6,0,Poor Road Condition
TA1147,6/8/2024,3:53,Kolkata,West Bengal,Minor,Clear,Poor,Van,4,8,0,Weather
TA1148,2/16/2023,7:31,Lucknow,Uttar Pradesh,Minor,Overcast,Dry,Car,2,4,0,Distracted Driving
TA1149,9/19/2023,9:52,Delhi,Delhi,Minor,Clear,Potholes,Van,4,2,0,Distracted Driving
TA1150,6/29/2024,7:51,Indore,Madhya Pradesh,Moderate,Rain,Dry,Bus,1,6,0,Speeding
TA1151,3/21/2023,10:41,Visakhapatnam,Andhra Pradesh,Moderate,Overcast,Potholes,Van,4,4,0,Speeding
TA1152,1/22/2023,11:05,Indore,Madhya Pradesh,Minor,Overcast,Potholes,SUV,3,1,0,Overtaking
TA1153,9/7/2023,14:52,Mumbai,Maharashtra,Moderate,Overcast,Dry,Bus,3,5,0,Distracted Driving
TA1154,6/22/2023,2:36,Surat,Gujarat,Moderate,Clear,Under Construction,Truck,2,5,0,Poor Road Condition
TA1155,8/30/2023,3:30,Delhi,Delhi,Minor,Cloudy,Wet,Truck,2,1,0,Distracted Driving
TA1156,4/20/2024,19:14,Coimbatore,Tamil Nadu,Moderate,Fog,Under Construction,Van,3,5,0,Distracted Driving
TA1157,3/11/2023,16:00,Visakhapatnam,Andhra Pradesh,Minor,Rain,Poor,Truck,1,5,0,Signal Violation
TA1158,11/14/2023,15:45,Chennai,Tamil Nadu,Moderate,Clear,Poor,SUV,3,1,0,Weather
TA1159,9/21/2024,20:16,Chennai,Tamil Nadu,Moderate,Fog,Under Construction,Truck,1,7,0,Drunk Driving
TA1160,10/29/2024,6:25,Bhubaneswar,Odisha,Minor,Fog,Under Construction,Motorcycle,1,7,0,Speeding
TA1161,3/28/2023,17:13,Surat,Gujarat,Moderate,Clear,Wet,Van,4,7,0,Signal Violation
TA1162,9/16/2024,5:25,Kochi,Kerala,Minor,Rain,Potholes,Bus,3,0,0,Drunk Driving
TA1163,3/9/2023,11:15,Surat,Gujarat,Minor,Fog,Poor,Auto Rickshaw,2,5,0,Speeding
TA1164,11/10/2024,4:49,Bhubaneswar,Odisha,Severe,Rain,Potholes,Motorcycle,1,4,0,Signal Violation
TA1165,10/20/2024,11:12,Indore,Madhya Pradesh,Severe,Overcast,Dry,Van,4,8,0,Poor Road Condition
TA1166,1/7/2024,10:32,Hyderabad,Telangana,Minor,Cloudy,Poor,SUV,4,3,0,Distracted Driving
TA1167,6/8/2023,2:38,Delhi,Delhi,Minor,Clear,Under Construction,SUV,1,5,0,Drunk Driving
TA1168,5/15/2023,20:23,Chandigarh,Chandigarh,Minor,Cloudy,Wet,SUV,2,7,0,Speeding
TA1169,1/9/2024,23:05,Bhopal,Madhya Pradesh,Moderate,Fog,Under Construction,Auto Rickshaw,4,3,0,Signal Violation
TA1170,11/13/2023,16:00,Ahmedabad,Gujarat,Severe,Cloudy,Poor,Van,4,7,0,Drunk Driving
TA1171,1/27/2024,17:09,Lucknow,Uttar Pradesh,Moderate,Cloudy,Wet,SUV,2,4,0,Speeding
TA1172,1/16/2024,18:55,Coimbatore,Tamil Nadu,Severe,Overcast,Dry,Auto Rickshaw,1,2,0,Poor Road Condition
TA1173,6/9/2024,5:01,Visakhapatnam,Andhra Pradesh,Severe,Clear,Wet,SUV,4,5,0,Speeding
TA1174,2/24/2023,13:31,Bhopal,Madhya Pradesh,Moderate,Cloudy,Potholes,Car,3,3,0,Speeding
TA1175,4/12/2023,22:11,Surat,Gujarat,Minor,Cloudy,Wet,Car,3,7,0,Weather
TA1176,12/23/2024,16:00,Delhi,Delhi,Minor,Clear,Dry,Car,3,3,0,Drunk Driving
TA1177,7/15/2024,20:46,Delhi,Delhi,Moderate,Clear,Poor,Motorcycle,3,1,0,Speeding
TA1178,3/5/2024,21:48,Ahmedabad,Gujarat,Moderate,Fog,Dry,Car,4,8,0,Speeding
TA1179,8/11/2024,8:15,Kochi,Kerala,Moderate,Rain,Potholes,Car,3,3,0,Signal Violation
TA1180,7/11/2023,22:40,Bhopal,Madhya Pradesh,Moderate,Overcast,Poor,Car,1,6,0,Drunk Driving
TA1181,2/14/2023,21:41,Coimbatore,Tamil Nadu,Minor,Rain,Poor,Van,1,5,0,Drunk Driving
TA1182,12/20/2023,8:13,Chennai,Tamil Nadu,Moderate,Clear,Under Construction,Van,3,2,0,Speeding
TA1183,7/13/2024,11:33,Nagpur,Maharashtra,Severe,Cloudy,Potholes,Van,4,2,0,Drunk Driving
TA1184,3/6/2023,15:37,Delhi,Delhi,Minor,Cloudy,Dry,SUV,2,0,0,Poor Road Condition
TA1185,6/11/2024,13:35,Lucknow,Uttar Pradesh,Fatal,Overcast,Potholes,Auto Rickshaw,1,3,1,Poor Road Condition
TA1186,11/2/2024,11:19,Bengaluru,Karnataka,Minor,Rain,Potholes,Bus,4,6,0,Poor Road Condition
TA1187,5/23/2024,23:37,Pune,Maharashtra,Moderate,Overcast,Poor,SUV,1,6,0,Speeding
TA1188,9/8/2024,6:09,Bhopal,Madhya Pradesh,Moderate,Rain,Dry,Car,3,4,0,Poor Road Condition
TA1189,9/9/2024,14:32,Visakhapatnam,Andhra Pradesh,Minor,Fog,Poor,Bus,1,5,0,Signal Violation
TA1190,10/9/2023,21:49,Bhopal,Madhya Pradesh,Fatal,Clear,Dry,Van,4,5,2,Drunk Driving
TA1191,2/1/2023,4:52,Pune,Maharashtra,Severe,Fog,Dry,Motorcycle,1,3,0,Drunk Driving
TA1192,1/6/2024,13:04,Nagpur,Maharashtra,Severe,Clear,Under Construction,Motorcycle,4,5,0,Poor Road Condition
TA1193,3/20/2023,19:35,Visakhapatnam,Andhra Pradesh,Minor,Rain,Potholes,Auto Rickshaw,3,3,0,Speeding
TA1194,7/10/2023,17:02,Hyderabad,Telangana,Moderate,Overcast,Dry,Auto Rickshaw,3,7,0,Distracted Driving
TA1195,10/20/2023,23:41,Chandigarh,Chandigarh,Severe,Fog,Wet,Car,2,1,0,Overtaking
TA1196,3/31/2024,2:59,Pune,Maharashtra,Severe,Rain,Poor,Van,1,8,0,Signal Violation
TA1197,11/4/2023,5:22,Lucknow,Uttar Pradesh,Moderate,Cloudy,Poor,Truck,2,1,0,Distracted Driving
TA1198,8/31/2023,16:51,Delhi,Delhi,Minor,Overcast,Under Construction,Auto Rickshaw,4,8,0,Distracted Driving
TA1199,3/30/2023,2:14,Chandigarh,Chandigarh,Minor,Fog,Under Construction,Bus,4,1,0,Distracted Driving
TA1200,10/19/2024,2:31,Surat,Gujarat,Minor,Overcast,Poor,Motorcycle,2,2,0,Overtaking
TA1201,2/26/2023,4:14,Kochi,Kerala,Moderate,Rain,Wet,Motorcycle,3,3,0,Poor Road Condition
TA1202,10/18/2023,2:41,Kochi,Kerala,Minor,Overcast,Poor,Motorcycle,3,8,0,Speeding
TA1203,10/18/2024,5:45,Kochi,Kerala,Moderate,Overcast,Wet,Motorcycle,3,0,0,Drunk Driving
TA1204,3/25/2023,1:33,Hyderabad,Telangana,Severe,Overcast,Poor,Van,2,6,0,Signal Violation
TA1205,5/24/2024,21:24,Hyderabad,Telangana,Moderate,Rain,Potholes,Motorcycle,4,4,0,Overtaking
TA1206,12/6/2024,2:02,Chennai,Tamil Nadu,Minor,Fog,Potholes,Bus,2,5,0,Signal Violation
TA1207,11/17/2023,10:53,Delhi,Delhi,Moderate,Rain,Potholes,Motorcycle,3,8,0,Signal Violation
TA1208,11/23/2023,8:15,Mumbai,Maharashtra,Moderate,Rain,Potholes,Motorcycle,2,1,0,Speeding
TA1209,1/29/2024,21:00,Lucknow,Uttar Pradesh,Minor,Cloudy,Poor,Truck,3,3,0,Drunk Driving
TA1210,5/25/2024,17:34,Pune,Maharashtra,Moderate,Rain,Potholes,Car,1,6,0,Signal Violation
TA1211,9/4/2023,7:20,Visakhapatnam,Andhra Pradesh,Moderate,Clear,Dry,Auto Rickshaw,4,7,0,Poor Road Condition
TA1212,1/9/2023,3:40,Patna,Bihar,Minor,Rain,Poor,SUV,4,5,0,Speeding
TA1213,2/22/2023,19:27,Indore,Madhya Pradesh,Moderate,Rain,Under Construction,Auto Rickshaw,1,6,0,Signal Violation
TA1214,7/17/2024,9:32,Visakhapatnam,Andhra Pradesh,Severe,Overcast,Under Construction,Car,2,1,0,Overtaking
TA1215,12/14/2023,19:02,Nagpur,Maharashtra,Severe,Cloudy,Wet,Truck,4,8,0,Speeding
TA1216,2/9/2023,4:40,Bengaluru,Karnataka,Moderate,Fog,Under Construction,Bus,2,8,0,Distracted Driving
TA1217,9/19/2024,10:52,Surat,Gujarat,Minor,Overcast,Poor,Truck,3,8,0,Drunk Driving
TA1218,6/29/2024,16:43,Kochi,Kerala,Moderate,Rain,Potholes,SUV,1,5,0,Poor Road Condition
TA1219,3/2/2024,19:55,Mumbai,Maharashtra,Minor,Clear,Under Construction,Bus,3,3,0,Weather
TA1220,8/20/2024,16:23,Bengaluru,Karnataka,Minor,Overcast,Potholes,Motorcycle,2,0,0,Signal Violation
TA1221,7/15/2023,0:38,Mumbai,Maharashtra,Minor,Fog,Wet,Bus,2,6,0,Signal Violation
TA1222,4/27/2024,2:07,Chandigarh,Chandigarh,Moderate,Overcast,Wet,Truck,3,7,0,Signal Violation
TA1223,11/18/2023,5:54,Indore,Madhya Pradesh,Moderate,Overcast,Poor,Truck,3,4,0,Signal Violation
TA1224,7/16/2023,8:24,Coimbatore,Tamil Nadu,Minor,Rain,Wet,Auto Rickshaw,3,3,0,Weather
TA1225,11/21/2023,16:22,Coimbatore,Tamil Nadu,Minor,Rain,Poor,Car,4,6,0,Drunk Driving
TA1226,5/30/2023,9:54,Nagpur,Maharashtra,Minor,Clear,Poor,Bus,3,7,0,Distracted Driving
TA1227,7/5/2024,9:15,Kolkata,West Bengal,Severe,Rain,Wet,Car,2,3,0,Speeding
TA1228,8/20/2023,21:46,Kochi,Kerala,Minor,Clear,Potholes,Auto Rickshaw,4,1,0,Weather
